claim_id,category,exact_claim,source_url,source_quote_max_15_words,verdict,discrepancy,severity
trend-lnp-rna,Signal card,LNP and RNA therapeutics workflows shows 918 PubMed records in the last year,https://pubmed.ncbi.nlm.nih.gov/,403,Unsupported/Hallucinated,"Citation is the generic PubMed root, not the saved query/result supporting this exact trend claim.",Major
trend-oligos,Signal card,Oligonucleotide and nucleic-acid analytics shows 659 PubMed records in the last year,https://pubmed.ncbi.nlm.nih.gov/,403,Unsupported/Hallucinated,"Citation is the generic PubMed root, not the saved query/result supporting this exact trend claim.",Major
trend-pfas,Signal card,PFAS and environmental contaminant testing shows 335 PubMed records in the last year,https://pubmed.ncbi.nlm.nih.gov/,403,Unsupported/Hallucinated,"Citation is the generic PubMed root, not the saved query/result supporting this exact trend claim.",Major
trend-proteomics,Signal card,High-resolution proteomics and metabolomics shows 9869 PubMed records in the last year,https://pubmed.ncbi.nlm.nih.gov/,403,Unsupported/Hallucinated,"Citation is the generic PubMed root, not the saved query/result supporting this exact trend claim.",Major
trend-automation,Signal card,Lab automation and software-enabled workflows shows 1137 PubMed records in the last year,https://pubmed.ncbi.nlm.nih.gov/,403,Unsupported/Hallucinated,"Citation is the generic PubMed root, not the saved query/result supporting this exact trend claim.",Major
sciex-monitor-product-page-added-62bb59b3169d,Signal card,SCIEX added Qtof Systems,https://sciex.com/products/mass-spectrometers/qtof-systems,QTOF Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-5ddf8bde9f75,Signal card,SCIEX added X Series Qtof Systems,https://sciex.com/products/mass-spectrometers/qtof-systems/x-series-qtof-systems,X-Series QTOF Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-cae81400b14f,Signal card,SCIEX added X500R Qtof System,https://sciex.com/products/mass-spectrometers/qtof-systems/x-series-qtof-systems/x500r-qtof-system,X500R QTOF System,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-fee1e23a2e50,Signal card,SCIEX added X500B Qtof System,https://sciex.com/products/mass-spectrometers/qtof-systems/x-series-qtof-systems/x500b-qtof-system,X500B: A Quadrupole Time-of-Flight Mass Spec for Biologics,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-777d02ea1b1c,Signal card,SCIEX added Tripletof Systems,https://sciex.com/products/mass-spectrometers/qtof-systems/tripletof-systems,QTOF Systems,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
sciex-monitor-product-page-added-f5464f0d2efc,Signal card,SCIEX added Tripletof 6600 System,https://sciex.com/products/mass-spectrometers/qtof-systems/tripletof-systems/tripletof-6600-system,ZenoTOF 7600 system,Unsupported/Hallucinated,"The current product page supports product existence/content, not a dated sitemap addition or update. No prior snapshot/diff is cited.",Critical
