claim_id,category,exact_claim,source_url,source_quote_max_15_words,verdict,discrepancy,severity
sciex-monitor-product-page-added-62bb59b3169d,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-5ddf8bde9f75,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/x-series-qtof-systems,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-cae81400b14f,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/x-series-qtof-systems/x500r-qtof-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-fee1e23a2e50,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/x-series-qtof-systems/x500b-qtof-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-777d02ea1b1c,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/tripletof-systems,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-f5464f0d2efc,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/tripletof-systems/tripletof-6600-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-19681c49754f,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/tripletof-systems/tripletof-6600plus-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-965cea28d0ce,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/zenotof-7600-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-23b18ccf1b09,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/7600-plus-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-d90b109b1581,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtof-systems/8600-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-5df2f0f91e55,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtrap-systems,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
sciex-monitor-product-page-added-2c770db764c7,Product evidence,SCIEX official product page observed,https://sciex.com/products/mass-spectrometers/qtrap-systems/qtrap-6500plus-system,,Unsupported/Hallucinated,Initial observation is not evidence that a page or product changed.,Major
